indexTime,phase,durationMs,filename,filePosition
1697456514,5,5006.9127,Gamma.dat,20736000
1697456520,6,5008.2951,Gamma.dat,20889600
1697456525,6,5001.9057,Gamma.dat,21043200
1697456530,6,5014.8881,Gamma.dat,21196800
1697456535,6,5000.7785,Gamma.dat,21350400
1697456541,6,5001.5098,Gamma.dat,21504000
1697456546,6,5008.985,Gamma.dat,21657600
1697456551,6,5000.436,Gamma.dat,21811200
1697456556,6,5001.7966,Gamma.dat,21964800
1697456562,5,5010.0034,Gamma.dat,22118400
1697456567,5,5013.5322,Gamma.dat,22272000
1697456572,5,5000.9186,Gamma.dat,22425600
1697456577,5,4999.9336,Gamma.dat,22579200
1697456584,4,5010.7427,Gamma.dat,22732800
1697456589,4,5001.6899,Gamma.dat,22886400
1697456594,4,5015.2098,Gamma.dat,23040000
1697456599,4,5015.0852,Gamma.dat,23193600
1697456605,3,5000.992,Gamma.dat,23347200
1697456610,3,5008.5711,Gamma.dat,23500800
1697456615,3,5001.5848,Gamma.dat,23654400
1697456620,3,5002.0975,Gamma.dat,23808000
1697456626,2,5001.1338,Gamma.dat,23961600
1697456631,2,5008.2273,Gamma.dat,24115200
1697456636,2,5001.5518,Gamma.dat,24268800
1697456641,2,5001.482,Gamma.dat,24422400
1697456648,1,5008.7722,Gamma.dat,24576000
1697456653,1,5001.4883,Gamma.dat,24729600
1697456658,1,5011.2477,Gamma.dat,24883200
1697456663,1,5001.9641,Gamma.dat,25036800
1697456669,0,5007.2563,Gamma.dat,25190400
1697456674,0,5001.421,Gamma.dat,25344000
1697456679,0,5009.3867,Gamma.dat,25497600
1697456684,0,5002.2382,Gamma.dat,25651200
1697456690,0,5010.2877,Gamma.dat,25804800
1697456695,0,5001.1642,Gamma.dat,25958400
1697456700,0,5001.2148,Gamma.dat,26112000
1697456705,0,5000.9924,Gamma.dat,26265600
1697456711,1,5015.3664,Gamma.dat,26419200
1697456716,1,5001.8113,Gamma.dat,26572800
1697456721,1,5007.3307,Gamma.dat,26726400
1697456726,1,5001.1366,Gamma.dat,26880000
1697456733,2,5000.9379,Gamma.dat,27033600
1697456738,2,5004.6317,Gamma.dat,27187200
1697456743,2,5012.2712,Gamma.dat,27340800
1697456748,2,5001.6144,Gamma.dat,27494400
1697456754,3,5012.8789,Gamma.dat,27648000
1697456759,3,5015.5961,Gamma.dat,27801600
1697456764,3,5001.4578,Gamma.dat,27955200
1697456769,3,5000.851,Gamma.dat,28108800
